# strain(%), strain_el(%), stress(GPa)
0.00000000 -0.00013068 0.00000000
0.00040000 -0.00262693 -0.00193544
0.00080000 -0.00208651 -0.00151643
0.00120000 -0.00163262 -0.00116451
0.00160000 -0.00128903 -0.00089812
0.00200000 0.00035187 0.00037414
0.00240000 0.00041860 0.00042587
0.00280000 0.00052482 0.00050823
0.00320000 0.00074559 0.00067940
0.00360000 0.00100699 0.00088207
0.00400000 0.00443941 0.00354335
0.00440000 0.00426156 0.00340546
0.00480000 0.00474387 0.00377942
0.00520000 0.00510979 0.00406312
0.00560000 0.00533208 0.00423548
0.00600000 0.00617445 0.00488860
0.00640000 0.00678537 0.00536227
0.00680000 0.00703102 0.00555272
0.00720000 0.00700525 0.00553274
0.00760000 0.00744782 0.00587589
0.00800000 0.00531886 0.00422523
0.00840000 0.00562582 0.00446322
0.00880000 0.00611449 0.00484211
0.00920000 0.00627929 0.00496988
0.00960000 0.00982439 0.00771853
0.01000000 0.01089054 0.00854515
0.01040000 0.01139008 0.00893246
0.01080000 0.01094974 0.00859106
0.01120000 0.00828903 0.00652811
0.01160000 0.00863932 0.00679970
0.01200000 0.00894566 0.00703722
0.01240000 0.00930784 0.00731803
0.01280000 0.01308856 0.01024936
0.01320000 0.01357399 0.01062573
0.01360000 0.01110650 0.00871260
0.01400000 0.01101611 0.00864251
0.01440000 0.01142179 0.00895705
0.01480000 0.01186712 0.00930233
0.01520000 0.01510935 0.01181615
0.01560000 0.01562298 0.01221439
0.01600000 0.01587924 0.01241308
0.01640000 0.01331291 0.01042330
0.01680000 0.01384850 0.01083857
0.01720000 0.01428333 0.01117571
0.01760000 0.01755852 0.01371508
0.01800000 0.01893638 0.01478339
0.01840000 0.01962133 0.01531446
0.01880000 0.01928208 0.01505142
0.01920000 0.01605531 0.01254959
0.01960000 0.01764923 0.01378542
0.02000000 0.01830894 0.01429691
0.02040000 0.01827053 0.01426713
0.02080000 0.02163334 0.01687444
0.02120000 0.02226584 0.01736484
0.02160000 0.02254991 0.01758509
0.02200000 0.01881472 0.01468906
0.02240000 0.02064740 0.01611001
0.02280000 0.02118996 0.01653067
0.02320000 0.02099151 0.01637680
0.02360000 0.02055588 0.01603905
0.02400000 0.02369063 0.01846953
0.02440000 0.02430094 0.01894273
0.02480000 0.02521996 0.01965528
0.02520000 0.02379264 0.01854862
0.02560000 0.02240925 0.01747603
0.02600000 0.02411516 0.01879869
0.02640000 0.02333804 0.01819615
0.02680000 0.02367058 0.01845399
0.02720000 0.02435922 0.01898791
0.02760000 0.02462813 0.01919641
0.02800000 0.02482375 0.01934808
0.02840000 0.02630657 0.02049777
0.02880000 0.02703888 0.02106555
0.02920000 0.02616093 0.02038484
0.02960000 0.02695189 0.02099811
0.03000000 0.02992781 0.02330544
0.03040000 0.03032501 0.02361341
0.03080000 0.03048827 0.02373999
0.03120000 0.02833507 0.02207053
0.03160000 0.02865396 0.02231778
0.03200000 0.02875256 0.02239423
0.03240000 0.03039588 0.02366836
0.03280000 0.02968625 0.02311816
0.03320000 0.03292901 0.02563238
0.03360000 0.03021449 0.02352772
0.03400000 0.03214001 0.02502065
0.03440000 0.03261717 0.02539061
0.03480000 0.03210757 0.02499549
0.03520000 0.03211876 0.02500417
0.03560000 0.03636795 0.02829872
0.03600000 0.03669969 0.02855593
0.03640000 0.03709987 0.02886620
0.03680000 0.03439011 0.02676523
0.03720000 0.03412965 0.02656329
0.03760000 0.03454384 0.02688442
0.03800000 0.03816135 0.02968921
0.03840000 0.03864671 0.03006553
0.03880000 0.03933229 0.03059708
0.03920000 0.03599257 0.02800767
0.03960000 0.03658015 0.02846324
0.04000000 0.03879329 0.03017918
0.04040000 0.03888724 0.03025202
0.04080000 0.03785527 0.02945189
0.04120000 0.03813140 0.02966599
0.04160000 0.03859046 0.03002192
0.04200000 0.04199334 0.03266029
0.04240000 0.04225252 0.03286124
0.04280000 0.04250706 0.03305860
0.04320000 0.04313881 0.03354841
0.04360000 0.04419562 0.03436780
0.04400000 0.04504368 0.03502533
0.04440000 0.04489054 0.03490660
0.04480000 0.04480171 0.03483773
0.04520000 0.04202815 0.03268728
0.04560000 0.04237738 0.03295806
0.04600000 0.04288549 0.03335201
0.04640000 0.04672068 0.03632557
0.04680000 0.04736210 0.03682289
0.04720000 0.04813367 0.03742112
0.04760000 0.04821710 0.03748580
0.04800000 0.04863431 0.03780928
0.04840000 0.04856138 0.03775273
0.04880000 0.04862381 0.03780113
0.04920000 0.04897719 0.03807513
0.04960000 0.04939477 0.03839889
0.05000000 0.05004734 0.03890485
0.05040000 0.05035440 0.03914293
0.05080000 0.04755377 0.03697150
0.05120000 0.04887221 0.03799373
0.05160000 0.04823609 0.03750052
0.05200000 0.04872298 0.03787803
0.05240000 0.05269206 0.04095540
0.05280000 0.05258921 0.04087566
0.05320000 0.05293229 0.04114166
0.05360000 0.05045022 0.03921722
0.05400000 0.05071262 0.03942067
0.05440000 0.05137893 0.03993729
0.05480000 0.05513382 0.04284859
0.05520000 0.05606109 0.04356753
0.05560000 0.05619717 0.04367304
0.05600000 0.05383414 0.04184090
0.05640000 0.05434211 0.04223474
0.05680000 0.05474481 0.04254697
0.05720000 0.05419769 0.04212277
0.05760000 0.05394085 0.04192364
0.05800000 0.05491960 0.04268250
0.05840000 0.05813180 0.04517303
0.05880000 0.05856361 0.04550783
0.05920000 0.05894415 0.04580288
0.05960000 0.05949699 0.04623151
0.06000000 0.05654551 0.04394312
0.06040000 0.05807678 0.04513037
0.06080000 0.05749916 0.04468252
0.06120000 0.05786491 0.04496610
0.06160000 0.05971919 0.04640379
0.06200000 0.05877306 0.04567022
0.06240000 0.05922317 0.04601921
0.06280000 0.05964334 0.04634498
0.06320000 0.05960640 0.04631634
0.06360000 0.06360547 0.04941697
0.06400000 0.06421051 0.04988608
0.06440000 0.06463150 0.05021249
0.06480000 0.06520046 0.05065362
0.06520000 0.06599362 0.05126859
0.06560000 0.06578074 0.05110354
0.06600000 0.06318505 0.04909100
0.06640000 0.06305043 0.04898663
0.06680000 0.06413437 0.04982704
0.06720000 0.06397230 0.04970138
0.06760000 0.06751309 0.05244669
0.06800000 0.06827883 0.05304040
0.06840000 0.06841736 0.05314781
0.06880000 0.06880440 0.05344789
0.06920000 0.06964778 0.05410179
0.06960000 0.06603999 0.05130454
0.07000000 0.06709977 0.05212623
0.07040000 0.06688346 0.05195851
0.07080000 0.06889692 0.05351962
0.07120000 0.06919243 0.05374874
0.07160000 0.06868641 0.05335641
